variable;type;calibrate;weights;useData
AtlanticHerring.biomass;lnorm2;TRUE;12.5;TRUE
AtlanticMackerel.biomass;lnorm2;TRUE;12.5;TRUE
Sandeel.biomass;lnorm2;TRUE;12.5;TRUE
EuropeanSprat.biomass;lnorm2;TRUE;12.5;TRUE
NorwayPout.biomass;lnorm2;TRUE;12.5;TRUE
EuropeanPlaice.biomass;lnorm2;TRUE;12.5;TRUE
CommonSole.biomass;lnorm2;TRUE;12.5;TRUE
Saithe.biomass;lnorm2;TRUE;12.5;TRUE
AtlanticCod.biomass;lnorm2;TRUE;12.5;TRUE
Haddock.biomass;lnorm2;TRUE;12.5;TRUE
HorseMackerel.biomass;lnorm2;TRUE;12.5;TRUE
Whiting.biomass;lnorm2;TRUE;12.5;TRUE
CommonDab.biomass;lnorm2;TRUE;12.5;TRUE
GreyGurnard.biomass;lnorm2;TRUE;12.5;TRUE
Hake.biomass;lnorm2;TRUE;12.5;TRUE
Shrimp.biomass;lnorm2;TRUE;22.22;TRUE
AtlanticHerring.landings;lnorm2;TRUE;22.22;TRUE
AtlanticMackerel.landings;lnorm2;TRUE;22.22;TRUE
Sandeel.landings;lnorm2;TRUE;22.22;TRUE
EuropeanSprat.landings;lnorm2;TRUE;22.22;TRUE
NorwayPout.landings;lnorm2;TRUE;22.22;TRUE
EuropeanPlaice.landings;lnorm2;TRUE;22.22;TRUE
CommonSole.landings;lnorm2;TRUE;22.22;TRUE
Saithe.landings;lnorm2;TRUE;22.22;TRUE
AtlanticCod.landings;lnorm2;TRUE;22.22;TRUE
Haddock.landings;lnorm2;TRUE;22.22;TRUE
HorseMackerel.landings;lnorm2;TRUE;0;TRUE
Whiting.landings;lnorm2;TRUE;22.22;TRUE
CommonDab.landings;lnorm2;TRUE;0;TRUE
GreyGurnard.landings;lnorm2;TRUE;0;TRUE
Hake.landings;lnorm2;TRUE;0;TRUE
Shrimp.landings;lnorm2;TRUE;0;TRUE
AtlanticHerring.c;lnorm2;TRUE;30;TRUE
AtlanticMackerel.c;lnorm2;TRUE;30;TRUE
Sandeel.c;lnorm2;TRUE;1;TRUE
EuropeanSprat.c;lnorm2;TRUE;30;TRUE
NorwayPout.c;lnorm2;TRUE;30;TRUE
EuropeanPlaice.c;lnorm2;TRUE;30;TRUE
CommonSole.c;lnorm2;TRUE;30;TRUE
Saithe.c;lnorm2;TRUE;30;TRUE
AtlanticCod.c;lnorm2;TRUE;30;TRUE
Haddock.c;lnorm2;TRUE;30;TRUE
HorseMackerel.c;lnorm2;TRUE;30;TRUE
Whiting.c;lnorm2;TRUE;30;TRUE
CommonDab.c;lnorm2;TRUE;30;TRUE
GreyGurnard.c;lnorm2;TRUE;30;TRUE
Hake.c;lnorm2;TRUE;30;TRUE
Shrimp.c;lnorm2;TRUE;1;TRUE
