Time (year);OctopusVulgaris;MelicertusKerathurus;MetapenaeusMonoceros;TrachurusTrachurus ;SardinaPilchardus;SardinellaAurita;EngraulisEncrasicolus;DiplodusAnnularis;MustelusMustelus;MerlucciusMerluccius;PagellusErythrinus
0;0;0;0;0.153846154;0.5;0;0;0.016949153;0;0.083333333;0
0.041666668;0;0;0;0.153846154;0.055555556;0;0;0.027118644;0;0.083333333;0
0.083333336;0;0;0;0.230769231;0;0;0;0.033898305;0;0.083333333;0
0.125;0;0;0;0.230769231;0;0;0.0625;0.186440678;0;0.083333333;0.25
0.16666667;0.597014925;0;0.258555133;0.153846154;0;0;0;0.237288136;0.470588235;0.083333333;0.25
0.20833333;0.358208955;0.258245614;0.25095057;0;0;0;0.625;0.101694915;0.529411765;0.083333333;0.25
0.25;0.044776119;0.235789474;0;0;0;0.384615385;0.09375;0.006779661;0;0.083333333;0.25
0.29166666;0;0.213333333;0;0;0;0.358974359;0.03125;0.016949153;0;0.083333333;0
0.33333334;0;0.245614035;0;0;0;0.256410256;0.125;0.016949153;0;0.083333333;0
0.375;0;0.047017544;0.254752852;0;0.027777778;0;0.0625;0.020338983;0;0.083333333;0
0.41666666;0;0;0.235741445;0;0.027777778;0;0;0.030508475;0;0.083333333;0
0.45833334;0;0;0;0.076923077;0.388888889;0;0;0.305084746;0;0.083333333;0
0.5;0;0;0;0.153846154;0.5;0;0;0.016949153;0;0.083333333;0
0.5416667;0;0;0;0.153846154;0.055555556;0;0;0.027118644;0;0.083333333;0
0.5833333;0;0;0;0.230769231;0;0;0;0.033898305;0;0.083333333;0
0.625;0;0;0;0.230769231;0;0;0.0625;0.186440678;0;0.083333333;0.25
0.6666667;0.597014925;0;0.258555133;0.153846154;0;0;0;0.237288136;0.470588235;0.083333333;0.25
0.7083333;0.358208955;0.258245614;0.25095057;0;0;0;0.625;0.101694915;0.529411765;0.083333333;0.25
0.75;0.044776119;0.235789474;0;0;0;0.384615385;0.09375;0.006779661;0;0.083333333;0.25
0.7916667;0;0.213333333;0;0;0;0.358974359;0.03125;0.016949153;0;0.083333333;0
0.8333333;0;0.245614035;0;0;0;0.256410256;0.125;0.016949153;0;0.083333333;0
0.875;0;0.047017544;0.254752852;0;0.027777778;0;0.0625;0.020338983;0;0.083333333;0
0.9166667;0;0;0.235741445;0;0.027777778;0;0;0.030508475;0;0.083333333;0
0.9583333;0;0;0;0.076923077;0.388888889;0;0;0.305084746;0;0.083333333;0
